trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8814479033836181}",30,15,-24.98782025610932,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8788035596734672}",20,0,-27.277565853491332,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8761671489944468}",25,6,-122.57995399040374,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.8735386475474635}",25,0,-90.65719320488417,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8709180316048211}",25,0,-52.728803554281846,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.8683052775100066}",25,14,10.879226791391453,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.8657003616774767}",35,0,-272.5284099791838,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 5}",0
49,False,"{'a': 0.5, 'e': 0.8631032605924442}",20,0,-45.270090526843084,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.860513950810667}",20,0,0.7923630032791548,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.857932408958235}",20,0,-76.12817548148563,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8553586117313603}",25,0,-81.89114890531485,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8527925358961662}",20,0,-41.94299782574376,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.8502341582884777}",20,0,-125.99543011878347,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8476834558136123}",30,3,-99.14919580062954,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.8451404054461714}",30,0,-122.01365828523438,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.8426049842298329}",30,0,-199.28131787440967,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.8400771692771434}",25,0,-111.67686339046723,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.837556937769312}",25,0,-27.81073279659755,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.835044266956004}",20,0,-37.0368867563356,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.8325391341551359}",20,10,-9.393514567841695,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
